Time (hour),DO (mol/L),NO3 (mol/L),NH4+ (mol/L),H+ (mol/L),pH
0.25,0.009525516,0.000368268,0.000683288,2.10E-08,7.67735134
0.5,0.093197483,0.000100069,0.002190948,6.14E-09,8.211862236
0.75,0.106056118,0.000122404,0.001568451,5.24E-09,8.280342774
1,0.093734239,0.000144778,0.001565328,4.18E-09,8.378498449
1.25,0.11506945,0.000239023,0.001414998,4.80E-09,8.318465852
1.5,0.135651829,0.000274194,0.000999316,3.87E-09,8.412223983
1.75,0.128344846,0.000307864,0.000684511,3.46E-09,8.461380072
2,0.144264049,0.000476377,0.000452818,4.07E-09,8.390443256
2.25,0.181860636,0.000724785,0.000176413,4.57E-09,8.33969586
2.5,1.116494211,0.000728029,5.64E-06,4.68E-09,8.329622425
2.75,3.270475417,0.000888329,1.33E-06,3.58E-09,8.446473741
3,3.718806032,0.000765322,2.10E-06,3.00E-09,8.5224214
3.25,3.056216271,0.000872552,2.21E-06,2.79E-09,8.553652158
3.5,3.668965155,0.000981643,2.43E-06,3.09E-09,8.510582552
3.75,3.117010491,0.000777506,2.10E-06,2.71E-09,8.566947013
4,3.433462526,0.000826698,2.57E-06,2.74E-09,8.562316059
4.25,3.578056223,0.001015752,2.26E-06,2.61E-09,8.583754859
4.5,3.499040777,0.000913722,2.56E-06,2.66E-09,8.574413943
4.75,3.738690574,0.000947622,2.51E-06,2.40E-09,8.619885706
5,2.886643209,0.00100525,2.28E-06,2.34E-09,8.631062011
5.25,4.144591217,0.00107527,2.24E-06,2.51E-09,8.600085556
5.5,3.855204786,0.001190903,2.21E-06,2.61E-09,8.583585435
5.75,3.411087463,0.001167503,2.34E-06,2.39E-09,8.621928513
6,3.556847461,0.001241146,2.18E-06,2.60E-09,8.585646557
6.25,3.492441026,0.001324693,2.26E-06,2.34E-09,8.629987348
6.5,2.995908436,0.001281196,2.53E-06,2.41E-09,8.617541247
6.75,2.939142645,0.001287639,2.22E-06,2.33E-09,8.632410761
7,3.459958455,0.001397861,2.20E-06,2.49E-09,8.603056218
7.25,3.980492122,0.001505341,2.52E-06,2.66E-09,8.574379621
7.5,3.143523749,0.001475826,2.92E-06,2.68E-09,8.572049758
7.75,3.599388124,0.001458986,2.33E-06,2.42E-09,8.615343936
8,3.518273512,0.001326001,2.77E-06,2.37E-09,8.625067189
