Time (hour),DO (mol/L),NO3 (mol/L),NH4+ (mol/L),H+ (mol/L),pH
0.25,0.008645326,0.000391349,0.000653245,1.67E-08,7.778157845
0.5,0.094467054,3.01E-05,0.001236108,7.54E-09,8.122739366
0.75,0.103579461,8.94E-05,0.001147259,4.96E-09,8.304277728
1,0.113210969,0.000114904,0.000856866,4.57E-09,8.34045437
1.25,0.120454947,0.000175421,0.000552151,4.33E-09,8.363884232
1.5,0.138175241,0.000243645,0.000370466,3.92E-09,8.40693494
1.75,0.14898251,0.000330211,0.00013978,3.94E-09,8.404135127
2,1.919885081,0.000372271,3.15E-07,3.74E-09,8.426726827
2.25,2.561125485,0.000381036,1.17E-06,3.54E-09,8.451360706
2.5,2.674752837,0.000396605,1.77E-06,2.87E-09,8.542198452
2.75,3.260162864,0.000439103,1.97E-06,2.90E-09,8.53749253
3,3.012122897,0.000429735,2.35E-06,2.63E-09,8.580787553
3.25,3.147139697,0.000409348,2.47E-06,2.80E-09,8.552522962
3.5,3.349439169,0.000512414,2.54E-06,2.79E-09,8.55450807
3.75,3.044696976,0.000535223,2.66E-06,2.49E-09,8.604650733
4,3.459841922,0.000556748,2.56E-06,2.49E-09,8.604668837
4.25,3.415430344,0.000561272,2.50E-06,2.60E-09,8.584620367
4.5,3.312329691,0.000658085,2.49E-06,2.73E-09,8.563553778
4.75,3.413239281,0.000697218,2.40E-06,2.54E-09,8.594978508
5,3.556404298,0.000757541,2.52E-06,2.24E-09,8.650414923
5.25,3.374804195,0.000736736,2.31E-06,2.44E-09,8.612227279
5.5,3.637206707,0.000796247,2.18E-06,2.50E-09,8.602417156
5.75,3.740720854,0.000774162,2.45E-06,2.53E-09,8.596658862
6,3.353043523,0.000818476,2.37E-06,2.53E-09,8.597542543
6.25,3.466746388,0.000924928,2.29E-06,2.49E-09,8.6041711
6.5,3.552641401,0.000940914,2.41E-06,2.40E-09,8.619031867
6.75,3.621312889,0.00096988,2.26E-06,2.64E-09,8.577625375
7,3.79984772,0.000984201,2.62E-06,2.36E-09,8.627136776
7.25,3.884193581,0.001015896,2.42E-06,2.24E-09,8.65038552
7.5,3.729593049,0.00110331,2.31E-06,2.34E-09,8.630138185
